trace,fixture,config,waste,h,issued,useful,useful_miss,share_issued,share_useful_miss,total_issued,total_useful_miss,scored_misses
awkhash,h16,h16/best-ev-tested-w0.25,0.250,11,11761,7057,24,0.051511,0.014519,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,12,11351,7035,2,0.049716,0.001210,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,13,11868,7527,226,0.051980,0.136721,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,14,10858,6796,2,0.047556,0.001210,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,15,10612,6629,0,0.046479,0.000000,228318,1653,56090
awkhash,h16,h16/best-ev-tested-w0.25,0.250,16,10401,6369,2,0.045555,0.001210,228318,1653,56090
awkhash,h32,h32/best-ev-w0.05,0.050,1,26880,18983,254,0.036690,0.106588,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,2,25981,17114,188,0.035463,0.078892,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,3,25544,15627,208,0.034867,0.087285,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,4,25368,15641,220,0.034627,0.092321,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,5,25143,14860,212,0.034320,0.088963,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,6,24313,15373,37,0.033187,0.015527,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,7,24442,15320,178,0.033363,0.074696,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,8,23710,15115,24,0.032364,0.010071,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,9,23759,14685,93,0.032430,0.039026,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,10,24988,15720,542,0.034108,0.227444,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,11,23233,14284,42,0.031712,0.017625,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,12,23072,14380,26,0.031493,0.010911,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,13,23877,15118,282,0.032591,0.118338,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,14,22684,14359,9,0.030963,0.003777,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,15,22522,13939,4,0.030742,0.001679,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,16,22428,13626,28,0.030614,0.011750,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,17,22261,13590,1,0.030386,0.000420,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,18,22183,13775,2,0.030279,0.000839,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,19,22051,13930,2,0.030099,0.000839,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,20,21975,13757,4,0.029995,0.001679,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,21,21865,13791,4,0.029845,0.001679,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,22,21774,13606,5,0.029721,0.002098,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,23,21654,13613,1,0.029557,0.000420,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,24,21538,13490,1,0.029399,0.000420,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,25,21456,13585,3,0.029287,0.001259,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,26,21347,13631,0,0.029138,0.000000,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,27,21284,13625,2,0.029052,0.000839,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,28,21227,13488,4,0.028974,0.001679,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,29,21125,13101,2,0.028835,0.000839,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,30,21065,13338,4,0.028753,0.001679,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,31,20959,13251,0,0.028608,0.000000,732615,2383,56090
awkhash,h32,h32/best-ev-w0.05,0.050,32,20907,13547,1,0.028537,0.000420,732615,2383,56090
awkhash,h32,h32/best-ev-w0.25,0.250,1,14417,10078,245,0.040892,0.169550,352559,1445,56090
