phase,trace,config,context,learner,window,waste,eval_begin,eval_end,accuracy,coverage,net_per_1k,strict_acc,strict_cov,strict_net_per_1k,mean_lead_data,mean_lead_total,issued,useful,useful_miss,scored_refs,scored_misses,action_rate,self_issued,self_useful,dedup_suppressed,state_bytes,table_bytes,update_ops,ns_per_ref,inserts,evictions,unresolved
A-roll,gcc,roll-0.50-0.60-explicit4,explicit-4,counts-eu,32,0.250,0.5000,0.6000,0.828753,0.675404,640.514,0.004079,0.314095,-199.585,2.510,8.6,322837,267552,1317,396136,4193,0.814965,211610,187518,17886,41,457179136,0,31.91,62894,0,0
A-roll,gcc,roll-0.60-0.70,bitty-4x8-ternary,counts-eu,32,0.250,0.6000,0.7000,0.927260,0.748793,734.108,0.004720,0.337054,-197.119,1.313,4.5,319893,296624,1510,396136,4480,0.807533,169219,164782,8707,137,457179136,385236352,101.41,174934,0,0
A-roll,gcc,roll-0.60-0.70-explicit4,explicit-4,counts-eu,32,0.250,0.6000,0.7000,0.834540,0.679630,645.944,0.004126,0.297098,-199.394,2.477,8.4,322604,269226,1331,396136,4480,0.814377,214594,189651,17625,41,457179136,0,33.88,62894,0,0
A-roll,gcc,roll-0.70-0.80,bitty-4x8-ternary,counts-eu,32,0.250,0.7000,0.8000,0.929590,0.752649,738.397,0.004508,0.336279,-197.851,1.312,4.5,320735,298152,1446,396137,4300,0.809657,172022,167906,8752,137,457179136,385236352,102.42,174934,0,0
A-roll,gcc,roll-0.70-0.80-explicit4,explicit-4,counts-eu,32,0.250,0.7000,0.8000,0.840950,0.675918,643.958,0.003986,0.295116,-196.934,2.389,8.1,318397,267756,1269,396137,4300,0.803755,212926,189515,17751,41,457179136,0,32.26,62894,0,0
A-roll,gcc,roll-0.80-0.90,bitty-4x8-ternary,counts-eu,32,0.250,0.8000,0.9000,0.932488,0.762306,748.509,0.004508,0.346546,-199.767,1.321,4.5,323840,301977,1460,396136,4213,0.817497,171026,166588,9666,137,457179136,385236352,99.11,174934,0,0
A-roll,gcc,roll-0.80-0.90-explicit4,explicit-4,counts-eu,32,0.250,0.8000,0.9000,0.837501,0.680963,647.932,0.002745,0.209827,-200.483,2.464,8.4,322094,269754,884,396136,4213,0.813089,212679,188653,17123,41,457179136,0,32.57,62894,0,0
A-roll,gcc,roll-0.90-1.00,bitty-4x8-ternary,counts-eu,32,0.250,0.9000,1.0000,0.929282,0.766833,752.244,0.004044,0.327228,-202.126,1.285,4.3,326888,303771,1322,396137,4040,0.825189,167878,163348,10515,137,457179136,385236352,101.67,174934,0,1
A-roll,gcc,roll-0.90-1.00-explicit4,explicit-4,counts-eu,32,0.250,0.9000,1.0000,0.826121,0.682272,646.371,0.002760,0.223515,-203.619,2.565,8.6,327159,270273,903,396137,4040,0.825873,209073,184759,17576,41,457179136,0,32.60,62894,0,2
B,gcc,type+delta,type+delta,counts-eu,32,0.100,0.2000,1.0000,0.783225,0.750890,730.107,0.000008,0.000696,-95.863,4.654,19.5,3038255,2379638,23,3169092,33055,0.958715,3025348,2376772,7301,9,457179136,0,29.27,54,0,9
B,gcc,pc-only,pc-only,counts-eu,32,0.100,0.2000,1.0000,0.819132,0.654318,639.871,0.003654,0.279837,-76.669,2.484,9.1,2531453,2073595,9250,3169092,33055,0.798794,1710821,1516854,244555,17,457179136,0,31.78,24546,0,5
B,gcc,explicit-1,explicit-1,counts-eu,32,0.100,0.2000,1.0000,0.819132,0.654318,639.871,0.003654,0.279837,-76.669,2.484,9.1,2531453,2073595,9250,3169092,33055,0.798794,1710821,1516854,244555,17,457179136,0,35.71,24546,0,5
B,gcc,explicit-2,explicit-2,counts-eu,32,0.100,0.2000,1.0000,0.828994,0.661477,647.832,0.003619,0.276842,-76.616,2.366,8.7,2528702,2096280,9151,3169092,33055,0.797926,1646523,1465175,234718,25,457179136,0,38.09,38628,0,3
B,gcc,explicit-4,explicit-4,counts-eu,32,0.100,0.2000,1.0000,0.830754,0.669736,656.092,0.003541,0.273726,-77.477,2.310,8.6,2554853,2122455,9048,3169092,33055,0.806178,1580302,1417095,226322,41,457179136,0,42.91,62894,0,2
B,gcc,explicit-8,explicit-8,counts-eu,32,0.100,0.2000,1.0000,0.838322,0.677908,664.834,0.003678,0.285161,-77.593,2.196,8.3,2562683,2148353,9426,3169092,33055,0.808649,1518976,1372652,199741,73,457179136,0,49.81,94623,0,2
B,gcc,explicit-16,explicit-16,counts-eu,32,0.100,0.2000,1.0000,0.841852,0.662248,649.807,0.003763,0.283769,-75.410,2.177,8.2,2492985,2098724,9380,3169092,33055,0.786656,1466186,1323608,189854,137,457179136,0,64.78,158513,0,0
B,gcc,bitty-1x8-tau8,bitty-1x8-tau8,counts-eu,32,0.100,0.2000,1.0000,0.836977,0.646756,634.158,0.002929,0.216972,-74.783,2.091,8.0,2448846,2049628,7172,3169092,33055,0.772728,1587745,1433172,202764,41,457179136,96309088,67.50,25628,0,6
B,gcc,bitty-1x8-tau32,bitty-1x8-tau32,counts-eu,32,0.100,0.2000,1.0000,0.839550,0.678687,665.716,0.003181,0.246529,-78.011,1.916,7.2,2561873,2150820,8149,3169092,33055,0.808393,1492353,1362609,212289,41,457179136,96309088,71.89,41057,0,2
B,gcc,bitty-4x8-ternary,bitty-4x8-ternary,counts-eu,32,0.100,0.2000,1.0000,0.906418,0.708438,701.124,0.003975,0.297837,-74.741,1.375,5.4,2476900,2245106,9845,3169092,33055,0.781580,1261156,1218971,118184,137,457179136,385236352,112.59,174934,0,1
B,gcc,random-matched,random-matched,counts-eu,32,0.100,0.2000,1.0000,0.644021,0.031791,30.034,0.000409,0.001936,-4.914,4.961,17.3,156436,100748,64,3169092,33055,0.049363,134066,98149,304,8,457179136,0,90.44,1024378,97,2
B,gcc,bitty-shuffled-instr,bitty-shuffled-instr,counts-eu,32,0.100,0.2000,1.0000,0.820163,0.048942,47.869,0.000312,0.001785,-5.947,1.757,10.1,189110,155101,59,3169092,33055,0.059673,150492,134705,18309,137,457179136,385236352,167.86,3253003,199585,0
B,gcc,bitty-no-delta,bitty-no-delta,counts-eu,32,0.100,0.2000,1.0000,0.883801,0.691562,682.470,0.003780,0.283558,-74.995,1.547,6.1,2479772,2191625,9373,3169092,33055,0.782487,1338988,1273543,155691,137,457179136,385236352,109.37,152523,0,1
B,gcc,bitty-no-type,bitty-no-type,counts-eu,32,0.100,0.2000,1.0000,0.905381,0.706967,699.578,0.003917,0.293239,-74.720,1.394,5.5,2474584,2240442,9693,3169092,33055,0.780850,1269267,1224910,124229,137,457179136,385236352,112.93,173558,0,1
B,gcc,bitty-instr-only,bitty-instr-only,counts-eu,32,0.100,0.2000,1.0000,0.906418,0.708438,701.124,0.003975,0.297837,-74.741,1.375,5.4,2476900,2245106,9845,3169092,33055,0.781580,1261156,1218971,118184,137,457179136,385236352,114.07,174934,0,1
B,gcc,bitty-data-only,bitty-data-only,counts-eu,32,0.100,0.2000,1.0000,0.953706,0.371498,369.695,0.000437,0.016336,-38.766,1.384,6.0,1234460,1177312,540,3169092,33055,0.389531,511811,492790,52610,137,457179136,126763648,120.42,1620101,1633,5
